Website,URL,Date,Instance,News Type,Comments,Shares
USA Today College,http://college.usatoday.com/2017/02/01/violence-and-chaos-erupt-at-uc-berkeley-in-protest-against-milo-yiannopoulos/,2/1/17 22:55,Woman Gets Beaten by Protestors,Mainstream,3,2000
KTLA 5,http://ktla.com/2017/02/02/uc-berkeley-protests-of-breitbarts-milo-yiannopoulos-caused-100000-in-damage/,2/2/17 19:34,One woman wearing a red Trump hat was pepper sprayed in the face while being interviewed by CNN affiliate KGO. She was able to respond that she was OK after the attack.,Mainstream,NA,164
The American Mirror,http://www.theamericanmirror.com/video-trump-supporters-attacked-outside-berkeley-milo-speech/,2/1/17,Video shows a woman wearing a red â€œMake America Great Againâ€ù hat being pepper sprayed by rioters while giving an interview to a local TV station.,RW Blog,636,9000
Breitbart,http://www.breitbart.com/milo/2017/02/01/rioters-beat/,2/1/17,"Young girl doing nothing, has head smashed with a pole then she's tear gassed by #antifa hello",RW News,9134,27848
NBC Bay Area,https://www.nbcbayarea.com/news/local/Lawyer-Looks-for-Injured-to-File-Civil-Claim-After-Protesters-Hinder-Milo-Yiannopoulos-Event-at-UC-Berkeley-412612223.html,2/2/17 16:31,"""Watching women being hit and maced made me wonder why the far left had become so violent.""",Mainstream,0,NA
The Daily Caller,http://dailycaller.com/2017/02/02/woman-in-trump-hat-pepper-sprayed-by-berkeley-rioter-during-interview-video/,2/2/17 2:17,Female Trump Supporter Pepper-Sprayed By Berkeley Rioter During TV Interview,RW News,689,23359
CNN,http://www.cnn.com/2017/02/01/us/milo-yiannopoulos-berkeley/index.html,2/2/17 20:33,"The violent protesters tore down metal barriers, set fires near the campus bookstore and damaged the construction site of a new dorm. One woman wearing a red Trump hat was pepper sprayed in the face while being interviewed byCNN affiliate KGO.",Mainstream,NA,NA
The Washington Times,http://www.washingtontimes.com/news/2017/feb/2/milo-yiannopoulos-event-donald-trump-supporter-get/,2/2/17,"A woman who supports President Trump says she was assaulted with pepper spray Wednesday at the University of California, Berkeley, as protests ahead of a Milo Yiannopoulos event turned violent.",RW News,52,NA
Information Liberation,http://www.informationliberation.com/?id=56212,2/2/17,A female Trump supporter was attacked with pepper-spray. Another woman was seen being hit with a black flag,RW Blog,5,NA
Russia Today,https://www.rt.com/usa/376001-milo-yiannopoulos-berkeley-riot-protest/,2/2/17 16:17,A female Trump supporter was attacked with pepper-spray. Another woman was seen being hit with a black flag,International News,599,9500
ABC 7 News,http://abc7news.com/news/pepper-sprayed-woman-says-she-was-hit-with-flag-poles-at-protest/1735116/,2/3/17,"We tweeted video of her first encounter Wednesday night. It was retweeted more than 3,500 times.    A woman wearing a #Trump-style hat was pepper sprayed at #UCBerkeley",Mainstream,7,NA